date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:37	21622/21622	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:37%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257123/lane-project-engineer-featured-in-agc-2016-annual-report	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news87a8.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257073&/news)
01:30:38	13615/13615	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Sep%202020%2017:30:38%20GMT	https://www.laneconstruct.com/portfolio/route-29-solutions-va/	C:/My%20Web%20Sites/Indigen/portfolio/route-29-solutions-va/index.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257073&/news)
01:30:39	21613/21613	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:38%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257127/senior-environmental-manager-featured-in-woman-engineer-magazine	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news8ab8.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257073&/news)
01:30:40	21501/21501	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:40%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257155/lane-construction-visits-east-rowan-students	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsf945.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257073&/news)
01:30:40	21471/21471	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:40%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257156/donated-vehicle-means-new-service-for-veterans	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news31c0.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257073&/news)
01:30:41	24488/24488	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:41%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2020&m=8&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news394a.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2020&m=8)
01:30:42	24095/24095	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:42%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2020&m=7&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news9df1.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2020&m=7)
01:30:42	22377/22377	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:42%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2020&m=6&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news458c.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2020&m=6)
01:30:43	29054/29054	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:43%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2020&m=5&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news4dfb.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2020&m=5)
01:30:43	30347/30347	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:43%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2020&m=4&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsa259.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2020&m=4)
01:30:44	22462/22462	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:44%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2020&m=2&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newscdb6.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2020&m=2)
01:30:44	24485/24485	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:44%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2020&m=1&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news447a.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2020&m=1)
01:30:45	43342/43342	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:45%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2019&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newse8ad.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2019)
01:30:46	22406/22406	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:46%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2019&p=2	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsc94a.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2019)
01:30:47	44030/44030	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:46%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2018&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news9452.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2018)
01:30:48	29611/29611	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:47%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2018&p=2	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news09d6.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2018)
01:30:48	43349/43349	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:48%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2017&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news1c53.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2017)
01:30:48	44208/44208	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:48%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2017&p=2	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news1e77.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2017)
01:30:49	34898/34898	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:49%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2017&p=3	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news366a.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2017)
01:30:50	43959/43959	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:50%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?%2Fmedia%2Fexternal-news%2Fexternal-lane-news=&y=2016&p=1	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsfc41.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?y=2016)
